row_index,replicate_id,peak_mutiny,collapse_quarter
0.0,0,20.0,2.0
0.0,1,20.0,2.0
0.0,2,20.0,2.0
0.0,3,20.0,2.0
0.0,4,20.0,2.0
1.0,0,74.97200000000001,16.8
1.0,1,74.97200000000001,16.8
1.0,2,74.97200000000001,16.8
1.0,3,74.97200000000001,16.8
1.0,4,74.97200000000001,16.8
2.0,0,20.0,1.8
2.0,1,20.0,1.8
2.0,2,20.0,1.8
2.0,3,20.0,1.8
2.0,4,20.0,1.8
3.0,0,20.0,2.2
3.0,1,20.0,2.2
3.0,2,20.0,2.2
3.0,3,20.0,2.2
3.0,4,20.0,2.2
4.0,0,20.0,2.2
4.0,1,20.0,2.2
4.0,2,20.0,2.2
4.0,3,20.0,2.2
4.0,4,20.0,2.2
5.0,0,20.0,2.0
5.0,1,20.0,2.0
5.0,2,20.0,2.0
5.0,3,20.0,2.0
5.0,4,20.0,2.0
6.0,0,20.0,2.0
6.0,1,20.0,2.0
6.0,2,20.0,2.0
6.0,3,20.0,2.0
6.0,4,20.0,2.0
7.0,0,37.138,5.6
7.0,1,37.138,5.6
7.0,2,37.138,5.6
7.0,3,37.138,5.6
7.0,4,37.138,5.6
8.0,0,89.53,15.4
8.0,1,89.53,15.4
8.0,2,89.53,15.4
8.0,3,89.53,15.4
8.0,4,89.53,15.4
9.0,0,82.678,16.2
9.0,1,82.678,16.2
9.0,2,82.678,16.2
9.0,3,82.678,16.2
9.0,4,82.678,16.2
10.0,0,93.696,14.2
10.0,1,93.696,14.2
10.0,2,93.696,14.2
10.0,3,93.696,14.2
10.0,4,93.696,14.2
11.0,0,82.678,16.2
11.0,1,82.678,16.2
11.0,2,82.678,16.2
11.0,3,82.678,16.2
11.0,4,82.678,16.2
12.0,0,91.842,16.0
12.0,1,91.842,16.0
12.0,2,91.842,16.0
12.0,3,91.842,16.0
12.0,4,91.842,16.0
13.0,0,81.88999999999999,16.2
13.0,1,81.88999999999999,16.2
13.0,2,81.88999999999999,16.2
13.0,3,81.88999999999999,16.2
13.0,4,81.88999999999999,16.2
14.0,0,82.678,16.2
14.0,1,82.678,16.2
14.0,2,82.678,16.2
14.0,3,82.678,16.2
14.0,4,82.678,16.2
15.0,0,85.75399999999999,16.0
15.0,1,85.75399999999999,16.0
15.0,2,85.75399999999999,16.0
15.0,3,85.75399999999999,16.0
15.0,4,85.75399999999999,16.0
16.0,0,41.254,13.8
16.0,1,41.254,13.8
16.0,2,41.254,13.8
16.0,3,41.254,13.8
16.0,4,41.254,13.8
17.0,0,83.47800000000001,16.2
17.0,1,83.47800000000001,16.2
17.0,2,83.47800000000001,16.2
17.0,3,83.47800000000001,16.2
17.0,4,83.47800000000001,16.2
18.0,0,90.916,15.8
18.0,1,90.916,15.8
18.0,2,90.916,15.8
18.0,3,90.916,15.8
18.0,4,90.916,15.8
19.0,0,88.56200000000001,16.0
19.0,1,88.56200000000001,16.0
19.0,2,88.56200000000001,16.0
19.0,3,88.56200000000001,16.0
19.0,4,88.56200000000001,16.0
20.0,0,90.916,15.8
20.0,1,90.916,15.8
20.0,2,90.916,15.8
20.0,3,90.916,15.8
20.0,4,90.916,15.8
21.0,0,88.39,16.0
21.0,1,88.39,16.0
21.0,2,88.39,16.0
21.0,3,88.39,16.0
21.0,4,88.39,16.0
22.0,0,91.052,15.0
22.0,1,91.052,15.0
22.0,2,91.052,15.0
22.0,3,91.052,15.0
22.0,4,91.052,15.0
23.0,0,90.916,15.8
23.0,1,90.916,15.8
23.0,2,90.916,15.8
23.0,3,90.916,15.8
23.0,4,90.916,15.8
24.0,0,89.008,15.4
24.0,1,89.008,15.4
24.0,2,89.008,15.4
24.0,3,89.008,15.4
24.0,4,89.008,15.4
25.0,0,84.76000000000002,13.4
25.0,1,84.76000000000002,13.4
25.0,2,84.76000000000002,13.4
25.0,3,84.76000000000002,13.4
25.0,4,84.76000000000002,13.4
26.0,0,94.452,13.2
26.0,1,94.452,13.2
26.0,2,94.452,13.2
26.0,3,94.452,13.2
26.0,4,94.452,13.2
